Comunidades  autónomas;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
01 Andalucía;Duración media de los viajes;Acumulado en lo que va de año;2023M08;8,19
01 Andalucía;Duración media de los viajes;Acumulado en lo que va de año;2023M07;8,10
01 Andalucía;Duración media de los viajes;Acumulado en lo que va de año;2023M06;8,05
01 Andalucía;Duración media de los viajes;Acumulado en lo que va de año;2023M05;8,26
01 Andalucía;Duración media de los viajes;Acumulado en lo que va de año;2023M04;8,57
01 Andalucía;Duración media de los viajes;Acumulado en lo que va de año;2023M03;9,05
01 Andalucía;Duración media de los viajes;Acumulado en lo que va de año;2023M02;9,35
01 Andalucía;Duración media de los viajes;Acumulado en lo que va de año;2023M01;9,59
01 Andalucía;Duración media de los viajes;Tasa de variación acumulada;2023M12;-6,59
01 Andalucía;Duración media de los viajes;Tasa de variación acumulada;2023M11;-7,12
01 Andalucía;Duración media de los viajes;Tasa de variación acumulada;2023M10;-7,07
01 Andalucía;Duración media de los viajes;Tasa de variación acumulada;2023M09;-7,24
01 Andalucía;Duración media de los viajes;Tasa de variación acumulada;2023M08;-8,93
01 Andalucía;Duración media de los viajes;Tasa de variación acumulada;2023M07;-9,69
01 Andalucía;Duración media de los viajes;Tasa de variación acumulada;2023M06;-8,38
01 Andalucía;Duración media de los viajes;Tasa de variación acumulada;2023M05;-8,35
01 Andalucía;Duración media de los viajes;Tasa de variación acumulada;2023M04;-10,87
01 Andalucía;Duración media de los viajes;Tasa de variación acumulada;2023M03;-12,97
01 Andalucía;Duración media de los viajes;Tasa de variación acumulada;2023M02;-13,02
01 Andalucía;Duración media de los viajes;Tasa de variación acumulada;2023M01;-20,37
